review_text,rating
super!,5
awesome,5
fair,3
useless product,1
fair,3
awesome,5
highly recommended,5
nice,3
unsatisfactory,1
worth the money,4
great product,5
mind-blowing purchase,5
highly recommended,5
brilliant,5
classy product,5
must buy!,5
fabulous!,5
worth every penny,5
super!,5
great product,5
awesome,5
worth every penny,5
just wow!,5
awesome,5
terrific purchase,5
excellent,5
worth every penny,5
terrific,5
awesome,5
simply awesome,5
wonderful,4
terrific,5
expected a better product,2
excellent,5
terrific purchase,5
wonderful,5
wonderful,5
good quality product,4
awesome,5
excellent,5
great product,5
highly recommended,5
awesome,5
decent product,3
fabulous!,5
very satisfactory,3
good quality product,4
mind-blowing purchase,5
waste of money!,1
must buy!,5
good not best,4
must buy!,5
does the job,4
nice,3
worth the money,4
pretty good,4
good cooler,5
wonderful,4
wonderful,4
worthless,1
great product,5
great product,5
must buy!,5
good quality product,4
decent product,3
brilliant,5
super!,5
worst experience ever!,1
perfect product!,5
wonderful,4
simply awesome,5
nice product,4
worth the money,4
useless product,1
excellent,5
"like an assembled, one can get for 4.5k cheap quality",1
simply awesome,5
great product,5
wonderful,5
wonderful,5
not good,2
very good,4
super!,5
terrific purchase,5
slightly disappointed,2
good quality product,4
expected a better product,2
horrible,1
nice,3
good quality product,4
simply awesome,5
mind-blowing purchase,5
highly recommended,5
fabulous!,5
brilliant,5
great product,5
highly recommended,5
must buy!,5
terrific purchase,5
very poor,1
mind-blowing purchase,5
terrific purchase,5
good quality product,4
wonderful,4
useless product,1
terrific purchase,5
simply awesome,5
unsatisfactory,1
really nice,4
unsatisfactory,1
best in the market!,5
highly recommended,5
classy product,5
good quality product,4
best in the market!,5
good quality product,4
brilliant,5
absolute rubbish!,1
terrific,5
terrific purchase,5
just okay,3
nice product,4
good quality product,4
perfect product!,5
must buy!,5
perfect product!,5
bad quality,2
mind-blowing purchase,5
worth the money,4
worst experience ever!,1
really nice,4
fabulous!,5
highly recommended,5
fabulous!,5
good quality product,4
great product,5
really nice,4
wonderful,5
just wow!,5
good quality product,4
just okay,3
super!,5
nice,3
fabulous!,5
worthless,1
worth every penny,5
worth the money,4
absolute rubbish!,1
super!,5
very good,4
really nice,4
just okay,3
terrific purchase,5
mind-blowing purchase,5
highly recommended,5
very poor,1
mind-blowing purchase,5
terrific purchase,5
best in the market!,5
excellent,5
delightful,4
wonderful,5
great product,5
worst experience ever!,1
terrific,5
value-for-money,4
fabulous!,5
good choice,4
must buy!,5
good quality product,4
wonderful,5
very good,4
excellent,5
very poor,1
mind-blowing purchase,5
classy product,5
wonderful,4
worst experience ever!,1
just wow!,5
nice,3
absolute rubbish!,1
decent product,3
mind-blowing purchase,5
hated it!,1
useless product,1
wonderful,4
awesome,5
super!,5
good quality product,4
fair,3
worth the money,4
good choice,4
good,3
simply awesome,5
value-for-money,4
absolute rubbish!,1
unsatisfactory,1
good quality product,4
mind-blowing purchase,5
awesome,5
terrific,5
nice,3
wonderful,5
terrible product,1
super!,5
best in the market!,5
good choice,4
terrific purchase,5
super!,5
good choice,4
best in the market!,5
not recommended at all,1
awesome,5
terrific,5
delightful,4
very good,4
perfect product!,5
perfect product!,5
super!,5
hated it!,1
decent product,3
terrific,5
excellent,5
terrific,5
simply awesome,5
brilliant,5
classy product,5
wonderful,4
best in the market!,5
best in the market!,5
best in the market!,5
did not meet expectations,1
wonderful,5
classy product,5
just wow!,5
terrific,5
very good,4
fabulous!,5
simply awesome,5
delightful,4
value-for-money,4
very poor,1
nice product,4
terrific,5
value-for-money,4
wonderful,4
decent product,3
must buy!,5
mind-blowing purchase,5
super!,5
highly recommended,5
super!,5
excellent,5
good,3
horrible,1
fabulous!,5
perfect product!,5
decent product,3
badly disappointed,2
fabulous!,5
good,3
perfect product!,5
terrible product,1
unsatisfactory,1
fabulous!,5
just wow!,5
highly recommended,5
good quality product,4
just okay,3
excellent,5
mind-blowing purchase,5
value-for-money,4
worth every penny,5
brilliant,5
wonderful,4
terrific purchase,5
unsatisfactory,1
value-for-money,4
not good,2
excellent,5
nice,3
just wow!,5
wonderful,4
brilliant,5
best in the market!,5
very good,4
worth the money,4
must buy!,5
wonderful,4
utterly disappointed,1
really nice,4
mind-blowing purchase,5
pretty good,4
awesome,5
terrible product,1
does the job,3
excellent,5
decent product,3
did not meet expectations,1
absolute rubbish!,1
very good,4
good quality product,4
does the job,3
nice,3
worth the money,4
worth the money,4
perfect product!,5
value-for-money,4
pretty good,4
excellent,5
best in the market!,5
not good,2
excellent,5
super!,5
perfect product!,5
delightful,4
moderate,2
very poor,1
horrible,1
perfect product!,5
super!,5
worth every penny,5
fabulous!,5
wonderful,4
best in the market!,5
wonderful,5
absolute rubbish!,1
mind-blowing purchase,5
nice product,4
simply awesome,5
really nice,4
delightful,4
super!,5
really nice,4
wonderful,4
best in the market!,5
terrific purchase,5
fabulous!,5
fabulous!,5
delightful,4
excellent,5
worth every penny,5
brilliant,5
terrific purchase,5
just okay,3
excellent,5
horrible,1
bad quality,2
excellent,5
value-for-money,4
good,3
must buy!,5
really nice,4
classy product,5
perfect product!,5
perfect product!,5
worth every penny,5
worth every penny,5
worth the money,4
value-for-money,4
just wow!,5
pretty good,4
fabulous!,5
good quality product,4
worth every penny,5
nice,3
delightful,4
mind-blowing purchase,5
good,3
best in the market!,5
terrible product,1
must buy!,5
fabulous!,5
classy product,5
terrific purchase,5
good quality product,4
best product and best buy,4
utterly disappointed,1
classy product,5
mind-blowing purchase,5
pretty good,4
simply awesome,5
highly recommended,5
classy product,5
just wow!,5
must buy!,5
excellent,5
worth every penny,5
super!,5
awesome,5
must buy!,5
good quality product,4
classy product,5
wonderful,5
just wow!,5
classy product,5
good choice,4
fair,3
wonderful,4
fabulous!,5
very good,4
pretty good,4
perfect product!,5
nice product,4
very good,4
worth every penny,5
not recommended at all,1
pretty good,4
just okay,3
terrific purchase,5
good choice,4
brilliant,5
hated it!,1
classy product,5
worth every penny,5
worth the money,4
value-for-money,4
highly recommended,5
good,3
very poor,1
not recommended at all,1
simply awesome,5
just wow!,5
good quality product,4
worth every penny,5
just wow!,5
very good,4
worth the money,4
terrific,5
must buy!,5
terrific purchase,5
super!,5
excellent,5
really nice,4
mind-blowing purchase,5
simply awesome,5
wonderful,5
just wow!,5
don't waste your money,1
wonderful,5
great product,5
brilliant,5
excellent,5
terrific purchase,5
worth the money,4
just okay,3
bad quality,2
brilliant,5
good,3
worth the money,4
value-for-money,4
perfect product!,5
perfect product!,5
value-for-money,4
best in the market!,5
simply awesome,5
just wow!,5
good,3
worth every penny,5
great product,5
highly recommended,5
nice product,4
just wow!,5
mind-blowing purchase,5
excellent,5
highly recommended,5
brilliant,5
worth every penny,5
utterly disappointed,3
